ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
Chronicle,Timofeyy Khromov,20,20-24,2002-08-16,Russia,EU,Fnatic,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.6,1000.0,400.0,763.2,ZOWIE G-SR-SE Deep Blue,Anne Pro 2,Logitech G Pro X Wireless Headset,ASUS TUF VG279QM,ZOWIE,Anne,Logitech,ASUS
BCJ,Brendan Jensen,22,20-24,2000-07-04,United States,NA,Evil Geniuses,VALORANT,3.18,Glorious Model D- Wireless White,Glorious,0.37,1000.0,800.0,941.2800000000001,Zowie G-SR-SE Rouge,Varmilo VA87M Summit,Sennheiser GAME ONE,ASUS ROG SWIFT PG279QM,Zowie,Varmilo,Sennheiser,ASUS
C0M,Corbin Lee,22,20-24,2000-05-10,United States,NA,Evil Geniuses,VALORANT,3.18,Logitech G Pro X Superlight White,Logitech,0.3,1000.0,800.0,763.2,Gamesense RUSH,Anne Pro 2,HyperX Cloud II,ZOWIE XL2546,Gamesense,Anne,HyperX,ZOWIE
Nozwerr,Agustin Ibarra,24,20-24,1998-05-08,Argentina,SA,Leviatan,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.45,1000.0,800.0,1144.8,VAXEE PA Winter 21,HyperX Alloy Origins,HyperX Cloud II,AOC G2460PF,VAXEE,HyperX,HyperX,AOC
Zander,Alexander Dituri,21,20-24,2001-10-01,Canada,NA,Version1,VALORANT,3.18,Logitech G Pro X Superlight Magenta,Logitech,0.13,1000.0,1600.0,661.44,Zowie G-SR-SE Rouge,Xtrfy K4 TKL RGB,HyperX Cloud II Wireless,ZOWIE XL2546,Zowie,Xtrfy,HyperX,ZOWIE
SugarZ3ro,Shota Watanabe,19,15-19,2003-03-18,Japan,AS,ZETA DIVISION,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.17,1000.0,800.0,432.48,ZOWIE G-SR-SE Deep Blue,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
Faide,Cole Caswell,22,20-24,2000-11-07,United States,NA,Content Creator,Apex,1.0,Logitech G Pro X Superlight,Logitech,0.8,1000.0,1700.0,1360.0,Logitech G640,Logitech G915 TKL,HyperX Cloud II,ASUS TUF VG259QM,Logitech,Logitech,HyperX,ASUS
NagZet,Juan Pablo Lopez Miranda,26,25-29,1996-11-12,Chile,SA,KRÜ Esports,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.58,1000.0,400.0,737.76,VAXEE PA FunSpark,Logitech G Pro X Keyboard,HyperX Cloud Flight,ZOWIE XL2546K,VAXEE,Logitech,HyperX,ZOWIE
derrek,Derrek Ha,25,25-29,1997-09-16,United States,NA,100 Thieves,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.375,1000.0,800.0,954.0,Zowie G-SR-SE Rouge,SteelSeries Apex 7 TKL Ghost,HyperX Cloud II,ZOWIE XL2546K,Zowie,SteelSeries,HyperX,ZOWIE
Laz,Koji Ushida,27,25-29,1995-11-26,Japan,AS,ZETA DIVISION,VALORANT,3.18,VAXEE ZYGEN NP-01S,VAXEE,0.355,1000.0,800.0,903.12,Artisan Ninja FX Zero Soft,Logitech G915,Logitech G Pro X Wireless Headset,ZOWIE XL2546,Artisan,Logitech,Logitech,ZOWIE
