ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
Kristou,Kristoffer Aamand,20,20-24,2002-01-05,Denmark,EU,Astralis Talent,CS:GO,1.0,ZOWIE EC2-B,ZOWIE,2.0,1000.0,400.0,800.0,SteelSeries QcK+,HyperX Alloy FPS Pro,Sennheiser GSP 600,ZOWIE XL2546,SteelSeries,HyperX,Sennheiser,ZOWIE
Queenix,Jonas Dideriksen,23,20-24,1999-07-15,Denmark,EU,ECSTATIC,CS:GO,1.0,ZOWIE EC2 RED V2,ZOWIE,2.2,1000.0,400.0,880.0000000000001,Zowie G-SR-SE Rouge,HyperX Alloy FPS RGB,HyperX Cloud II,ZOWIE XL2546K,Zowie,HyperX,HyperX,ZOWIE
Jyo,Rassim Vallijev,27,25-29,1995-02-18,Estonia,EU,K23,CS:GO,1.0,VAXEE ZYGEN NP-01,VAXEE,1.5,1000.0,800.0,1200.0,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
zehN,Jesse Linjala,31,30-34,1991-11-07,Finland,EU,HAVU,CS:GO,1.0,Logitech G Pro Wireless,Logitech,1.5,1000.0,400.0,600.0,Logitech G640,Corsair K70 RGB,HyperX Cloud II,ZOWIE XL2546,Logitech,Corsair,HyperX,ZOWIE
ramz1k,Ramazan Bashizov,23,20-24,1999-12-09,Kazakhstan,AS,Golden Knights Gaming,CS:GO,1.0,ZOWIE EC2-B,ZOWIE,2.9,1000.0,400.0,1160.0,SteelSeries QcK Heavy,Razer BlackWidow X Chroma Mercury,HyperX Cloud Revolver S,ZOWIE XL2546,SteelSeries,Razer,HyperX,ZOWIE
TOAO,Mateusz Zawistowski,26,25-29,1996-10-07,Poland,EU,Illuminar,CS:GO,1.0,Razer Deathadder V3 Pro White,Razer,1.1,4000.0,800.0,880.0000000000001,ZOWIE G-SR,Ozone Gaming Strike Battle,Sennheiser GAME ZERO,ZOWIE XL2546K,ZOWIE,Ozone,Sennheiser,ZOWIE
jnt,Jhonatan Silva,28,25-29,1994-05-22,Brazil,SA,Sharks Esports,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.2,1000.0,400.0,880.0000000000001,SteelSeries QcK Heavy,Razer BlackWidow X Chroma Mercury,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Razer,HyperX,ZOWIE
danoco,Daniel Morgado,27,25-29,1995-12-14,Brazil,SA,Corinthians,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,2.1,1000.0,400.0,840.0,Logitech G640,Ducky One 2 Mini,HyperX Cloud Alpha S,ZOWIE XL2546,Logitech,Ducky,HyperX,ZOWIE
daps,Damian Steele,29,25-29,1993-07-29,Canada,NA,Team Liquid,CS:GO,1.0,Logitech G Pro Wireless,Logitech,1.7,1000.0,400.0,680.0,SteelSeries QcK Heavy,HyperX Alloy Origins Core,beyerdynamic DT 770 Pro,HP OMEN X 27,SteelSeries,HyperX,beyerdynamic,HP
sergej,Jere Salo,20,20-24,2002-03-01,Finland,EU,Gorillaz Esports,CS:GO,1.0,Finalmouse Ultralight 2,Finalmouse,2.2,1000.0,400.0,880.0000000000001,Logitech G640,Logitech G915 TKL,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
facecrack,Dmitriy Alekseyev,28,25-29,1994-04-22,Russia,EU,Invictus Gaming,CS:GO,1.0,ZOWIE EC2-B Divina Blue,ZOWIE,1.725,1000.0,400.0,690.0,ZOWIE G-SR-SE,Cooler Master Storm Rapid-I,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Cooler,HyperX,ZOWIE
captainMo,Ke Liu,33,30-34,1989-05-30,China,AS,Steel Helmet,CS:GO,1.0,ZOWIE EC2-B,ZOWIE,0.8,1000.0,800.0,640.0,ZOWIE G-SR,Xtrfy K4 TKL RGB,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,Xtrfy,Sennheiser,ZOWIE
yel,Gustavo Knittel,30,30-34,1992-05-22,Brazil,SA,O PLANO,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.3,1000.0,800.0,1040.0,Logitech G640,Razer Huntsman Elite,HyperX Cloud II,ZOWIE XL2546,Logitech,Razer,HyperX,ZOWIE
k1to,Nils Gruhne,24,20-24,1998-11-28,Germany,EU,BIG,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.2,1000.0,400.0,480.0,VAXEE PA Black,Corsair K63,Corsair Void Pro White,ZOWIE XL2546K,VAXEE,Corsair,Corsair,ZOWIE
SHOOWTiME,Gustavo Gonçalves,25,25-29,1997-04-01,Brazil,SA,Corinthians,CS:GO,1.0,ZOWIE ZA11-B,ZOWIE,1.9,1000.0,400.0,760.0,unknown,Fnatic RUSH G1,HyperX Cloud II,ZOWIE XL2546,unknown,Fnatic,HyperX,ZOWIE
MarKE,Edgar Maldonado,24,20-24,1998-05-10,Mexico,NA,Free Agent,CS:GO,1.0,ZOWIE EC3-C,ZOWIE,1.0,1000.0,800.0,800.0,Zowie G-SR-SE Rouge,Razer Huntsman Elite,HyperX Cloud II,ZOWIE XL2540,Zowie,Razer,HyperX,ZOWIE
Rickeh,Ricky Mulholland,31,30-34,1991-11-22,Australia,OC,Aftershock,CS:GO,1.0,Logitech MX518 HERO,Logitech,1.0,1000.0,800.0,800.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,Alienware AW2521HF,Logitech,Logitech,Logitech,Alienware
t0rick,Maksim Zaikin,28,25-29,1994-07-06,Azerbaijan,AS,Free Agent,CS:GO,1.0,Logitech G Pro Wireless,Logitech,1.1,1000.0,800.0,880.0000000000001,ZOWIE G-SR-SE Red,Corsair K70 RGB,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Corsair,HyperX,ZOWIE
ableJ,Rinaldo Moda Junior,24,20-24,1998-11-05,Brazil,SA,Free Agent,CS:GO,1.0,ZOWIE S2 Divina Pink,ZOWIE,0.9,1000.0,800.0,720.0,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,HyperX Cloud II,ZOWIE XL2540,SteelSeries,HyperX,HyperX,ZOWIE
ScrunK,Robin Röpke,27,25-29,1995-07-10,Germany,EU,Sangal,CS:GO,1.0,Zowie FK2-B,Zowie,1.05,1000.0,800.0,840.0,ZOWIE GTF-X,Logitech G512,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
mir,Nikolay Bityukov,26,25-29,1996-01-10,Russia,EU,Entropiq,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.55,1000.0,400.0,620.0,SteelSeries QcK Heavy,Ducky One 2 TKL White,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Ducky,HyperX,ZOWIE
AMANEK,François Delauney,29,25-29,1993-08-24,France,EU,LDLC OL,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.55,1000.0,800.0,1240.0,Logitech G840,Logitech G413,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
Krimbo,Karim Moussa,20,20-24,2002-09-26,Germany,EU,BIG,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0,Corsair MM350 Champion Series,Corsair K70 RGB MK.2,Corsair HS80,ZOWIE XL2546K,Corsair,Corsair,Corsair,ZOWIE
k0nfig,Kristian Wienecke,25,25-29,1997-04-19,Denmark,EU,Heroic,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.2,1000.0,400.0,880.0000000000001,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
blameF,Benjamin Bremer,25,25-29,1997-06-10,Denmark,EU,Astralis,CS:GO,1.0,Logitech G Pro X Superlight Red,Logitech,1.51,1000.0,400.0,604.0,Logitech G640,Logitech G512,Logitech G Pro X Headset,ZOWIE XL2540,Logitech,Logitech,Logitech,ZOWIE
VINI,Vinicius Figueiredo,23,20-24,1999-05-20,Brazil,SA,Imperial Esports,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,0.4775,1000.0,1600.0,764.0,Zowie G-SR-SE Rouge,Logitech G915 TKL,Xtrfy H1,ZOWIE XL2546K,Zowie,Logitech,Xtrfy,ZOWIE
GeT_RiGhT,Christopher Alesund,32,30-34,1990-05-29,Sweden,EU,Content Creator,CS:GO,1.0,Logitech G Pro Wireless,Logitech,2.9,1000.0,400.0,1160.0,HyperX Fury S Pro,HyperX Alloy Origins,HyperX Cloud II,ZOWIE XL2546 Divina Blue,HyperX,HyperX,HyperX,ZOWIE
FalleN,Gabriel Toledo,31,30-34,1991-05-30,Brazil,SA,Imperial Esports,CS:GO,1.0,Fallen Pantera Pro Wireless Preto,Fallen,1.39,1000.0,400.0,556.0,Fallen Fade,Fallen Ace,Fallen Morcego Vermelho,ZOWIE XL2546K,Fallen,Fallen,Fallen,ZOWIE
fer,Fernando Alvarenga,31,30-34,1991-10-30,Brazil,SA,Imperial Esports,CS:GO,1.0,VAXEE ZYGEN NP-01 White,VAXEE,2.3,1000.0,400.0,919.9999999999999,SteelSeries QcK Heavy,Fallen Falcão-Peregrino V3,Bose QuietComfort 20,ZOWIE XL2546,SteelSeries,Fallen,Bose,ZOWIE
Stewie2k,Jake Yip,24,20-24,1998-01-07,United States,NA,Evil Geniuses,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.61,1000.0,400.0,775.9200000000001,SteelSeries QcK Heavy,Logitech G512,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
Farlig,Asger Jensen,23,20-24,1999-03-17,Denmark,EU,Astralis,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.14,4000.0,400.0,856.0,ZOWIE G-SR-SE,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,Logitech,Logitech,ZOWIE
Chawzyyy,Hugo Günther,17,15-19,2005-03-11,Sweden,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,0.68,1000.0,800.0,544.0,SteelSeries QcK Heavy,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2540,SteelSeries,Xtrfy,HyperX,ZOWIE
BOROS,Mohammad Malhas,18,15-19,2004-05-04,Jordan,AS,Monte,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0,SteelSeries QcK Heavy,SteelSeries Apex Pro,SteelSeries Arctis Pro,ZOWIE XL2540,SteelSeries,SteelSeries,SteelSeries,ZOWIE
HEN1,Henrique Teles,27,25-29,1995-07-14,Brazil,SA,MIBR,CS:GO,1.0,ZOWIE EC2 Tyloo,ZOWIE,3.8,1000.0,400.0,1520.0,VAXEE PA OUTSET,HyperX Alloy FPS RGB,HyperX Cloud Alpha S,ZOWIE XL2546,VAXEE,HyperX,HyperX,ZOWIE
es3tag,Patrick Hansen,27,25-29,1995-11-29,Denmark,EU,Ninjas in Pyjamas,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.4,1000.0,800.0,1120.0,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
REZ,Fredrik Sterner,24,20-24,1998-01-11,Sweden,EU,Ninjas in Pyjamas,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,2.3,1000.0,400.0,919.9999999999999,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
Brollan,Ludvig Brolin,20,20-24,2002-06-17,Sweden,EU,Ninjas in Pyjamas,CS:GO,1.0,ZOWIE EC2-C,ZOWIE,1.3,1000.0,800.0,1040.0,Razer Gigantus V2,Razer Huntsman V2,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
Jimpphat,Jimi Salo,16,15-19,2006-09-09,Finland,EU,MOUZ NXT,CS:GO,1.0,Pulsar Xlite Wireless,Pulsar,1.5,1000.0,400.0,600.0,Logitech G640,Logitech G915,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
misutaaa,Kévin Rabier,19,15-19,2003-01-15,France,EU,Falcons Esports,CS:GO,1.0,Razer Deathadder V3 Pro White,Razer,1.35,4000.0,400.0,540.0,VAXEE PA Summer22,Razer Huntsman V2,Corsair HS80,ZOWIE XL2546K,VAXEE,Razer,Corsair,ZOWIE
Peppzor,Peppe Borak,20,20-24,2002-07-23,Sweden,EU,EYEBALLERS,CS:GO,1.0,ZOWIE EC2-C,ZOWIE,1.6,1000.0,400.0,640.0,Fnatic DASH XL,Fnatic miniSTREAK,Fnatic REACT+,ZOWIE XL2546K,Fnatic,Fnatic,Fnatic,ZOWIE
apEX,Dan Madesclaire,29,25-29,1993-02-22,France,EU,Team Vitality,CS:GO,1.0,ZOWIE EC1-A,ZOWIE,1.6,1000.0,400.0,640.0,ZOWIE G-SR-SE Dark Grey,Corsair K70 RGB MK.2,JBL Quantum One,ZOWIE XL2546K,ZOWIE,Corsair,JBL,ZOWIE
Fessor,Frederik Sørensen,21,20-24,2001-01-24,Denmark,EU,Monte,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.5,4000.0,400.0,600.0,Razer Goliathus Speed Cosmic,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,Razer,Logitech,HyperX,ZOWIE
FURIOUSSS,Anıl Bozdoğan,24,20-24,1998-01-23,Turkey,AS,Luminosity,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.6,1000.0,400.0,1040.0,ZOWIE G-SR,SteelSeries Apex Pro TKL,HyperX Cloud II,ZOWIE XL2546,ZOWIE,SteelSeries,HyperX,ZOWIE
Maikelele,Mikail Bill,31,30-34,1991-05-03,Sweden,EU,Content Creator,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.2,1000.0,400.0,880.0000000000001,Razer Gigantus V2,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2540,Razer,Xtrfy,HyperX,ZOWIE
Boombl4,Kirill Mikhailov,24,20-24,1998-12-20,Russia,EU,Free Agent,CS:GO,1.0,ZOWIE EC1,ZOWIE,1.45,1000.0,400.0,580.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
Perfecto,Ilya Zalutskiy,23,20-24,1999-11-24,Russia,EU,Natus Vincere,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.0,1000.0,800.0,800.0,Logitech G640,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
regali,Iulian Harjău,20,20-24,2002-08-26,Romania,EU,Copenhagen Flames,CS:GO,1.0,Razer Viper V2 Pro,Razer,3.0,1000.0,400.0,1200.0,Razer Gigantus V2,Razer Huntsman V2,Razer BlackShark V2 Pro,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
RuStY,Alfred Karlsson,25,25-29,1997-10-04,Sweden,EU,Into The Breach,CS:GO,1.0,ZOWIE S2 Divina Pink,ZOWIE,1.7,1000.0,400.0,680.0,Xtrfy XTP1 f0rest,unknown,HyperX Cloud II,ZOWIE XL2546,Xtrfy,unknown,HyperX,ZOWIE
iM,Ivan Mihai,23,20-24,1999-07-29,Romania,EU,GamerLegion,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.35,4000.0,400.0,940.0,unknown,unknown,HyperX Cloud II,ZOWIE XL2546K,unknown,unknown,HyperX,ZOWIE
poizon,Valentin Vasilev,24,20-24,1998-11-29,Bulgaria,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.85,1000.0,400.0,740.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
Magisk,Emil Reif,24,20-24,1998-03-05,Denmark,EU,Team Vitality,CS:GO,1.0,Razer Deathadder V3 Pro White,Razer,1.0,4000.0,800.0,800.0,VAXEE PA Y22,Razer Huntsman V2 TKL,Corsair HS80,ZOWIE XL2546,VAXEE,Razer,Corsair,ZOWIE
dupreeh,Peter Rasmussen,29,25-29,1993-03-26,Denmark,EU,Team Vitality,CS:GO,1.0,ZOWIE FK2 RED V2,ZOWIE,1.7,1000.0,400.0,680.0,VAXEE PA Summer22,Logitech G Pro X Keyboard,Corsair HS80,ZOWIE XL2546,VAXEE,Logitech,Corsair,ZOWIE
Zero,Patrik Žúdel,24,20-24,1998-09-16,Slovakia,EU,SINNERS Esports,CS:GO,1.0,ZOWIE S1,ZOWIE,0.95,1000.0,800.0,760.0,Artisan Ninja FX Zero Soft,Custom Keyboard,beyerdynamic DT 900 Pro X,ZOWIE XL2546,Artisan,Custom,beyerdynamic,ZOWIE
tabseN,Johannes Wodarz,27,25-29,1995-04-05,Germany,EU,BIG,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.28,1000.0,400.0,512.0,Corsair MM250,Corsair K63,Corsair Void Pro White,ASUS ROG SWIFT PG259QN,Corsair,Corsair,Corsair,ASUS
refrezh,Ismail Ali,24,20-24,1998-02-19,Denmark,EU,Sprout,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0,ZOWIE G-SR,HyperX Alloy FPS,Turtle Beach Elite Atlas Pro,ZOWIE XL2546K,ZOWIE,HyperX,Turtle,ZOWIE
cadiaN,Casper Møller,27,25-29,1995-06-26,Denmark,EU,Heroic,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.4,1000.0,400.0,960.0,SteelSeries QcK Heavy,Xtrfy K4 TKL RGB White,SteelSeries Arctis Pro,ZOWIE XL2546K,SteelSeries,Xtrfy,SteelSeries,ZOWIE
FaNg,Justin Coakley,20,20-24,2002-05-07,Canada,NA,Complexity,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.54,1000.0,400.0,616.0,Artisan Ninja FX Zero Soft,Razer Huntsman V2 TKL,Sennheiser GSP 600,ZOWIE XL2546K,Artisan,Razer,Sennheiser,ZOWIE
JT,Johnny Theodosiou,23,20-24,1999-04-09,South Africa,AF,Complexity,CS:GO,1.0,Razer Deathadder V3 Pro White,Razer,2.75,1000.0,400.0,1100.0,SteelSeries QcK+,Drop ALT Keyboard,HyperX Cloud II,ZOWIE XL2546,SteelSeries,Drop,HyperX,ZOWIE
Grim,Michael Wince,22,20-24,2000-11-22,United States,NA,Complexity,CS:GO,1.0,ZOWIE FK1-C,ZOWIE,0.72,1000.0,800.0,576.0,Lethal Gaming Gear Saturn,Logitech G915 TKL White,HyperX Cloud II,ZOWIE XL2546K,Lethal,Logitech,HyperX,ZOWIE
junior,Paytyn Johnson,22,20-24,2000-12-10,United States,NA,Complexity,CS:GO,1.0,Glorious Model D- Wireless White,Glorious,2.5,1000.0,400.0,1000.0,ZOWIE G-SR,HyperX Alloy Origins,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
floppy,Ricky Kemery,23,20-24,1999-12-31,United States,NA,Complexity,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.2,1000.0,800.0,960.0,Artisan Ninja FX Zero Soft,HyperX Alloy Origins Core,Sennheiser GSP 600,ZOWIE XL2546,Artisan,HyperX,Sennheiser,ZOWIE
Jerry,Andrey Mekhryakov,24,20-24,1998-05-24,Russia,EU,forZe,CS:GO,1.0,ZOWIE EC2-B Divina Blue,ZOWIE,3.0,1000.0,400.0,1200.0,ZOWIE G-SR-SE Divina Blue,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
stavn,Martin Lund,20,20-24,2002-03-26,Denmark,EU,Heroic,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,2.6,1000.0,400.0,1040.0,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,SteelSeries,HyperX,ZOWIE
rigoN,Rigon Gashi,23,20-24,1999-10-07,Switzerland,EU,Bad News Eagles,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.5,1000.0,400.0,600.0,VAXEE PA FunSpark,Corsair K63,HyperX Cloud II Gun Metal,ZOWIE XL2546K,VAXEE,Corsair,HyperX,ZOWIE
SENER1,Sener Mahmuti,25,25-29,1997-01-19,Kosovo,EU,Bad News Eagles,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,2.35,4000.0,400.0,940.0,Logitech G640,Xtrfy K5 Compact RGB Transparent White,Logitech G Pro X Headset,Alienware AW2521H,Logitech,Xtrfy,Logitech,Alienware
Zyphon,Rasmus Nordfoss,18,15-19,2004-02-18,Denmark,EU,Sprout,CS:GO,1.0,ZOWIE EC2-B Divina Blue,ZOWIE,1.42,1000.0,400.0,568.0,Zowie G-SR-SE Rouge,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro,AOC AG251FZ,Zowie,Razer,Razer,AOC
jabbi,Jakob Nygaard,19,15-19,2003-07-23,Denmark,EU,Heroic,CS:GO,1.0,ZOWIE EC2 White V2,ZOWIE,0.9,1000.0,800.0,720.0,Razer Gigantus V2,Xtrfy K4 TKL RGB,Razer BlackShark V2 Pro,ZOWIE XL2546,Razer,Xtrfy,Razer,ZOWIE
roeJ,Fredrik Jørgensen,29,25-29,1993-11-20,Denmark,EU,Fnatic,CS:GO,1.0,Logitech G Pro X Superlight Magenta,Logitech,1.85,1000.0,400.0,740.0,Razer Gigantus V2,Fnatic STREAK65 LP,Razer BlackShark V2 Pro,ZOWIE XL2546K,Razer,Fnatic,Razer,ZOWIE
nicoodoz,Nico Tamjidi,22,20-24,2000-08-02,Denmark,EU,Fnatic,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,3.09,1000.0,400.0,1236.0,Fnatic DASH,Xtrfy K5 Compact RGB,HyperX Cloud II Gun Metal,ZOWIE XL2546 Divina Blue,Fnatic,Xtrfy,HyperX,ZOWIE
HooXi,Rasmus Nielsen,27,25-29,1995-05-21,Denmark,EU,G2 Esports,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.5,1000.0,400.0,1000.0,Logitech G640,Razer Huntsman V2 TKL,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Razer,Logitech,ZOWIE
sjuush,Rasmus Beck,24,20-24,1999-01-03,Denmark,EU,Heroic,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.22,1000.0,400.0,888.0000000000001,Zowie G-SR-SE Rouge,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546K,Zowie,Xtrfy,HyperX,ZOWIE
TeSeS,René Madsen,22,20-24,2000-12-12,Denmark,EU,Heroic,CS:GO,1.0,Razer Deathadder V3 Pro White,Razer,1.1,1000.0,800.0,880.0000000000001,SteelSeries QcK Heavy,SteelSeries Apex Pro,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,SteelSeries,HyperX,ZOWIE
gxx,Genc Kolgeci,23,20-24,1999-05-03,Kosovo,EU,Bad News Eagles,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.0,4000.0,400.0,800.0,unknown,Razer Huntsman V2,HyperX Cloud II,ZOWIE XL2546K,unknown,Razer,HyperX,ZOWIE
zorte,Aleksandr Zagodyrenko,24,20-24,1998-05-28,Russia,EU,forZe,CS:GO,1.0,ZOWIE EC3-C,ZOWIE,1.15,1000.0,800.0,919.9999999999999,VAXEE PB,Custom Keyboard,EPOS H3,ZOWIE XL2546K,VAXEE,Custom,EPOS,ZOWIE
KENSI,Aleksandr Gurkin,21,20-24,2001-11-13,Russia,EU,Aurora,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.55,1000.0,400.0,620.0,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud Alpha S,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
Brehze,Vincent Cayonte,24,20-24,1998-05-22,United States,NA,Evil Geniuses,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,3.0,1000.0,400.0,1200.0,VAXEE PA Y22,Logitech G915 TKL,Razer BlackShark V2,ASUS ROG SWIFT PG259QN,VAXEE,Logitech,Razer,ASUS
RUSH,Will Wierzba,28,25-29,1994-05-05,United States,NA,Evil Geniuses,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.4,1000.0,400.0,960.0,Artisan Ninja FX Zero XSoft,HyperX Alloy Elite 2,HyperX Cloud Alpha S,ZOWIE XL2546,Artisan,HyperX,HyperX,ZOWIE
interz,Timofey Yakushin,22,20-24,2000-08-04,Russia,EU,Cloud9,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.0,1000.0,800.0,800.0,Zowie G-SR-SE Rouge,Logitech G513,HyperX Cloud Alpha,ZOWIE XL2546,Zowie,Logitech,HyperX,ZOWIE
sh1ro,Dmitriy Sokolov,21,20-24,2001-07-15,Russia,EU,Cloud9,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.02,1000.0,800.0,816.0,ZOWIE G-SR,Logitech G915 TKL White,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
HObbit,Abay Khasenov,28,25-29,1994-05-18,Kazakhstan,AS,Cloud9,CS:GO,1.0,Logitech G Pro X Superlight Magenta,Logitech,1.1,1000.0,800.0,880.0000000000001,Esports Tiger Grandmaster SE Qin,Xtrfy K5 Compact RGB,HyperX Cloud II,ZOWIE XL2540,Esports,Xtrfy,HyperX,ZOWIE
Xyp9x,Andreas Højsleth,27,25-29,1995-09-11,Denmark,EU,Astralis,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.0,500.0,800.0,800.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
gla1ve,Lukas Rossander,27,25-29,1995-06-07,Denmark,EU,Astralis,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.1,4000.0,400.0,840.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
CeRq,Cvetelin Dimitrov,23,20-24,1999-12-07,Bulgaria,EU,Evil Geniuses,CS:GO,1.0,ZOWIE EC2 RED V2,ZOWIE,2.2,1000.0,400.0,880.0000000000001,ZOWIE G-SR,Logitech G915 TKL,Logitech G Pro X Wireless Headset,ZOWIE XL2540,ZOWIE,Logitech,Logitech,ZOWIE
EliGE,Jonathan Jablonowski,25,25-29,1997-07-19,United States,NA,Team Liquid,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,0.74,1000.0,1600.0,1184.0,Lethal Gaming Gear Saturn,Glorious GMMK Pro,beyerdynamic DT 770 Pro,Alienware AW2521H,Lethal,Glorious,beyerdynamic,Alienware
XELLOW,Adrian Guță,22,20-24,2000-10-06,Romania,EU,Sprout,CS:GO,1.0,Xtrfy M4 Wireless White,Xtrfy,2.0,1000.0,400.0,800.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
FinigaN,Vladislav Usov,23,20-24,1999-02-16,Russia,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,2.4,1000.0,400.0,960.0,Razer Goliathus Speed Cosmic,Logitech G915 TKL White,Logitech G Pro X Headset,ZOWIE XL2546K,Razer,Logitech,Logitech,ZOWIE
