ign,mouse,mouse_brand,sense,hz,dpi,edpi
Marved,Razer Viper V2 Pro White,Razer,0.306,1000.0,800.0,244.79999999999998
phaze,Logitech G Pro X Superlight,Logitech,0.7,1000.0,400.0,280.0
trent,Razer Viper Mini,Razer,0.2,1000.0,1600.0,320.0
Suygetsu,ZOWIE EC2-C,ZOWIE,0.25,1000.0,800.0,200.0
foxz,Pulsar Xlite V2 Wireless,Pulsar,0.485,1000.0,800.0,388.0
lyr1c,Logitech G Pro X Superlight White,Logitech,0.65,1000.0,1600.0,1040.0
sushiboys,Logitech G Pro X Superlight Magenta,Logitech,0.37,1000.0,800.0,296.0
Crws,Logitech G Pro X Superlight,Logitech,0.15,1000.0,1600.0,240.0
Xdll,Logitech G Pro X Superlight,Logitech,0.285,1000.0,800.0,227.99999999999997
mwzera,Razer Deathadder V3 Pro,Razer,0.346,1000.0,800.0,276.79999999999995
Patiphan,Glorious Model O,Glorious,0.265,1000.0,800.0,212.0
Cryocells,Logitech G Pro X Superlight Magenta,Logitech,0.3,1000.0,800.0,240.0
Chronicle,Logitech G Pro X Superlight,Logitech,0.6,1000.0,400.0,240.0
BCJ,Glorious Model D- Wireless White,Glorious,0.37,1000.0,800.0,296.0
pANcada,VAXEE XE Pink,VAXEE,0.28,1000.0,800.0,224.00000000000003
C0M,Logitech G Pro X Superlight White,Logitech,0.3,1000.0,800.0,240.0
Nozwerr,Logitech G Pro X Superlight,Logitech,0.45,1000.0,800.0,360.0
Taxi2g,Razer Viper V2 Pro,Razer,1.3,1000.0,800.0,1040.0
Zander,Logitech G Pro X Superlight Magenta,Logitech,0.13,1000.0,1600.0,208.0
SugarZ3ro,Logitech G Pro X Superlight,Logitech,0.17,1000.0,800.0,136.0
Faide,Logitech G Pro X Superlight,Logitech,0.8,1000.0,1700.0,1360.0
NagZet,Razer Deathadder V3 Pro,Razer,0.58,1000.0,400.0,231.99999999999997
derrek,Logitech G Pro X Superlight,Logitech,0.375,1000.0,800.0,300.0
Laz,VAXEE ZYGEN NP-01S,VAXEE,0.355,1000.0,800.0,284.0
ethos,Logitech G303 Shroud Edition,Logitech,0.69,1000.0,400.0,276.0
Zyppan,Logitech G Pro X Superlight,Logitech,0.3,1000.0,800.0,240.0
nukkye,Logitech G Pro X Superlight White,Logitech,0.175,1000.0,1600.0,280.0
benjyfishy,Razer Viper V2 Pro,Razer,0.283,1000.0,800.0,226.39999999999998
dgzin,Razer Deathadder V3 Pro,Razer,0.35,1000.0,400.0,140.0
BuZz,ZOWIE S2,ZOWIE,0.57,1000.0,400.0,227.99999999999997
keznit,Logitech G703,Logitech,0.346,1000.0,800.0,276.79999999999995
aspas,Logitech G403 HERO,Logitech,0.4,1000.0,800.0,320.0
nAts,ZOWIE S2,ZOWIE,0.49,1000.0,800.0,392.0
iiTzTimmy,Logitech G Pro X Superlight,Logitech,1.1,1000.0,1800.0,1980.0000000000002
f0rsakeN,Logitech G Pro X Superlight,Logitech,0.652,1000.0,800.0,521.6
babybay,Logitech G Pro X Superlight Magenta,Logitech,0.244,1000.0,800.0,195.2
7ssk7,FinalMouse Starlight Pro,FinalMouse,0.24,1000.0,800.0,192.0
cauanzin,Logitech G Pro X Superlight Magenta,Logitech,0.28,1000.0,800.0,224.00000000000003
Jinggg,G-Wolves Hati S+ 4K,G-Wolves,0.188,4000.0,1600.0,300.8
d4v41,Logitech G Pro X Superlight,Logitech,0.46,1000.0,900.0,414.0
tuyz,Logitech G Pro X Superlight,Logitech,0.32,1000.0,800.0,256.0
Sacy,Logitech G Pro X Superlight White,Logitech,0.48,1000.0,800.0,384.0
Sayf,Logitech G Pro X Superlight,Logitech,0.5,1000.0,400.0,200.0
AslaN,Razer Deathadder V3 Pro,Razer,0.6,1000.0,400.0,240.0
Shyy,Razer Viper V2 Pro,Razer,0.32,1000.0,800.0,256.0
rhyme,Razer Deathadder V3 Pro,Razer,0.5,1000.0,400.0,200.0
keloqz,Razer Viper V2 Pro,Razer,0.44,1000.0,400.0,176.0
Meddo,Xtrfy M4,Xtrfy,0.18,1000.0,800.0,144.0
Asuna,Razer DeathAdder V2,Razer,0.272,1000.0,1400.0,380.8
dapr,Logitech G Pro X Superlight,Logitech,0.66,1000.0,400.0,264.0
bang,Logitech G Pro X Superlight,Logitech,0.32,1000.0,800.0,256.0
stellar,Logitech G Pro Wireless,Logitech,0.3,1000.0,800.0,240.0
soulcas,Razer Deathadder V3 Pro,Razer,0.44,1000.0,400.0,176.0
leaf,FinalMouse Starlight Pro,FinalMouse,0.23,1000.0,800.0,184.0
ImperialHal,Logitech G Pro X Superlight,Logitech,1.1,1000.0,800.0,880.0000000000001
Zekken,Logitech G Pro X Superlight,Logitech,0.175,1000.0,1600.0,280.0
Shanks,Logitech G703,Logitech,0.6,1000.0,400.0,240.0
koldamenta,Razer Deathadder V3 Pro White,Razer,0.3,1000.0,800.0,240.0
adverso,Logitech G Pro X Superlight White,Logitech,0.5,1000.0,400.0,200.0
Sheydos,Logitech G Pro X Superlight White,Logitech,0.81,1000.0,400.0,324.0
mimi,Logitech G Pro X Superlight Magenta,Logitech,0.365,1000.0,800.0,292.0
trexx,G-Wolves Hati-M,G-Wolves,0.226,1000.0,800.0,180.8
Viss,Logitech G Pro Wireless,Logitech,2.3,1000.0,400.0,919.9999999999999
chocoTaco,Logitech G703,Logitech,1.4,1000.0,800.0,1120.0
wippie,ZOWIE EC1,ZOWIE,1.572,1000.0,800.0,1257.6000000000001
Apryze,Finalmouse Ultralight 2,Finalmouse,1.0,1000.0,1600.0,1600.0
byali,Razer Deathadder V3 Pro,Razer,1.7,4000.0,400.0,680.0
honda,ZOWIE S2 Divina Blue,ZOWIE,1.2,1000.0,400.0,480.0
fox,ZOWIE S2 Divina Pink,ZOWIE,4.7,1000.0,400.0,1880.0
DD,ZOWIE S2 Divina Pink,ZOWIE,2.4,1000.0,400.0,960.0
adreN,Logitech G Pro Wireless,Logitech,2.25,1000.0,400.0,900.0
Kvem,Logitech G Pro X Superlight Magenta,Logitech,3.0,1000.0,400.0,1200.0
neaLaN,Razer Deathadder V3 Pro White,Razer,2.0,1000.0,400.0,800.0
tudsoN,Logitech G Pro Wireless,Logitech,2.0,1000.0,400.0,800.0
Lucky,SteelSeries Rival 300,SteelSeries,0.7,1000.0,1600.0,1120.0
LUCAS1,ZOWIE EC2-A White,ZOWIE,2.2,1000.0,400.0,880.0000000000001
xsepower,ZOWIE EC2-B Divina Blue,ZOWIE,2.2,500.0,400.0,880.0000000000001
