ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio
kinqie,Semyon Lisitsyn,31,30-34,1991-11-07,Russia,EU,Free Agent,CS:GO,1.0
motm,Ian Hardy,23,20-24,1999-10-23,United States,NA,ATK,CS:GO,1.0
svyat,Svyatoslav Dovbakh,28,25-29,1994-11-07,Russia,EU,Free Agent,CS:GO,1.0
Jackinho,Jack Mattson,23,20-24,1999-03-07,Sweden,EU,Free Agent,CS:GO,1.0
kory,Kornél Szedlár,24,20-24,1998-07-12,Hungary,EU,Sangal,CS:GO,1.0
1mpala,Stefan Ailazian,23,20-24,1999-02-27,Ukraine,EU,S-Gaming,CS:GO,1.0
jR,Dmitriy Chervak,29,25-29,1993-10-22,Ukraine,EU,Run Or Die,CS:GO,1.0
rAge,Dmitry Bolotov,25,25-29,1997-07-27,Ukraine,EU,Free Agent,CS:GO,1.0
JUGi,Jakob Hansen,25,25-29,1997-04-01,Denmark,EU,Fokus Clan,VALORANT,3.18
Moose,Kaleb Jayne,24,20-24,1998-03-19,Canada,NA,Shopify Rebellion,VALORANT,3.18
Mercury,Jingxiang Wang,22,20-24,2000-12-15,China,AS,Rare Atom,CS:GO,1.0
Vexite,Declan Portelli,18,15-19,2004-09-05,Australia,OC,Grayhound Gaming,CS:GO,1.0
joel,Joel Holmlund,18,15-19,2004-09-24,Sweden,EU,Free Agent,CS:GO,1.0
erkaSt,Erdenetsogt Gantulga,27,25-29,1995-03-19,Mongolia,AS,Team NKT,CS:GO,1.0
somebody,Haowen Xu,27,25-29,1995-07-03,China,AS,Content Creator,CS:GO,1.0
Zeus,Danylo Teslenko,35,35-39,1987-10-08,Ukraine,EU,Retired,CS:GO,1.0
RpK,Cédric Guipouy,33,30-34,1989-08-12,France,EU,Retired,CS:GO,1.0
RUBINO,Ruben Villaroel,28,25-29,1994-03-21,Norway,EU,Free Agent,VALORANT,3.18
summit1g,Jaryd Lazar,35,35-39,1987-04-23,United States,NA,Content Creator,Overwatch,0.3
jL,Justinas Lekavicius,23,20-24,1999-09-29,Lithuania,EU,Apeks,CS:GO,1.0
Rock1nG,Ivan Stratiev,26,25-29,1996-08-19,Bulgaria,EU,allStars Gaming,CS:GO,1.0
TMB,Thomas Bundsbæk,20,20-24,2002-02-03,Denmark,EU,Copenhagen Flames,CS:GO,1.0
S0TF1k,Dmitry Forostyanko,28,25-29,1994-09-29,Russia,EU,Team Spirit,CS:GO,1.0
crush,Igor Shevchenko,27,25-29,1995-08-12,Ukraine,EU,Natus Vincere Jr.,CS:GO,1.0
kyuubii,Can Kamber,17,15-19,2005-03-16,Germany,EU,Sangal,CS:GO,1.0
Dimaoneshot,Dmitriy Bandurka,27,25-29,1995-01-27,Russia,EU,Free Agent,CS:GO,1.0
devoduvek,David Dobrosavljevic,28,25-29,1994-11-03,France,EU,Ambush Esports,CS:GO,1.0
blocker,Yanko Panov,23,20-24,1999-04-17,Bulgaria,EU,Free Agent,CS:GO,1.0
MistR,Mikkel Thomsen,18,15-19,2004-04-22,Denmark,EU,Astralis Talent,CS:GO,1.0
CacaNito,Aleksandar Kjulukoski,22,20-24,2000-11-09,North Macedonia,EU,BLUEJAYS,CS:GO,1.0
Soulfly,Caner Kesici,18,15-19,2004-06-16,Turkey,AS,Sangal,CS:GO,1.0
kst,Francisco Fragoso,21,20-24,2001-11-12,Portugal,EU,For The Win Esports,CS:GO,1.0
Kaze,Andrew Khong,28,25-29,1994-07-22,Malaysia,AS,Rare Atom,CS:GO,1.0
suNny,Miika Kemppi,28,25-29,1994-08-24,Finland,EU,Free Agent,CS:GO,1.0
sausol,Pere Solsona Saumell,22,20-24,2000-05-31,Spain,EU,Movistar Riders,CS:GO,1.0
lux,Lucas Meneghini,20,20-24,2002-04-18,Brazil,SA,Fluxo,CS:GO,1.0
ZOREE,Lasse Uronen,29,25-29,1993-10-15,Finland,EU,JANO Esports,CS:GO,1.0
Jeorge,Jeorge Endicott,19,15-19,2003-04-14,United States,NA,Evil Geniuses,CS:GO,1.0
seangares,Sean Gares,34,30-34,1988-06-10,United States,NA,100 Thieves,VALORANT,3.18
mertz,Daniel Mertz,24,20-24,1998-09-29,Denmark,EU,Free Agent,CS:GO,1.0
fostar,Stanislav Ostashevskyi,22,20-24,2000-03-09,Ukraine,EU,Free Agent,CS:GO,1.0
DEVIL,Timothée Démolon,28,25-29,1994-12-11,France,EU,The Dice,CS:GO,1.0
NEO,Filip Kubski,35,35-39,1987-06-15,Poland,EU,HONORIS,CS:GO,1.0
TaZ,Wiktor Wojtas,36,35-39,1986-07-06,Poland,EU,HONORIS,CS:GO,1.0
ChrisJ,Chris de Jong,32,30-34,1990-05-25,Netherlands,EU,Free Agent,CS:GO,1.0
supra,Anton Tšernobai,22,20-24,2000-10-09,Estonia,EU,TITANS,CS:GO,1.0
innocent,Paweł Mocek,29,25-29,1993-12-20,Poland,EU,Anonymo,CS:GO,1.0
Cooper,Austin Abadir,28,25-29,1994-05-29,United States,NA,Mythic,CS:GO,1.0
Lucaozy,Lucas Neves,21,20-24,2001-10-16,Brazil,SA,Fluxo,CS:GO,1.0
xccurate,Kevin Susanto,24,20-24,1998-02-18,Indonesia,AS,Team NKT,CS:GO,1.0
